PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36332731","Advanced throughput analytical strategies for the comprehensive HRMS screening of organic micropollutants in eggs of different bird species","Gkotsis G, Nika MC, Athanasopoulou AI, Vasilatos K, Alygizakis N, Boschert M, Osterauer R, Höpker KA, Thomaidis NS.","Chemosphere. 2023 Jan;312(Pt 1):137092. doi: 10.1016/j.chemosphere.2022.137092. Epub 2022 Nov 1.","Gkotsis G","Chemosphere","2023","2022/11/04","","","10.1016/j.chemosphere.2022.137092"
"36113526","Mapping development and health effects of cooking with solid fuels in low-income and middle-income countries, 2000-18: a geospatial modelling study","Local Burden of Disease Household Air Pollution Collaborators.","Lancet Glob Health. 2022 Oct;10(10):e1395-e1411. doi: 10.1016/S2214-109X(22)00332-1.","Local Burden of Disease Household Air Pollution Collaborators","Lancet Glob Health","2022","2022/09/16","PMC9638039","","10.1016/S2214-109X(22)00332-1"
"33498193","Legacy and Emerging Per- and Polyfluoroalkyl Substances: Analytical Techniques, Environmental Fate, and Health Effects","Brase RA, Mullin EJ, Spink DC.","Int J Mol Sci. 2021 Jan 20;22(3):995. doi: 10.3390/ijms22030995.","Brase RA","Int J Mol Sci","2021","2021/01/27","PMC7863963","","10.3390/ijms22030995"
"34822881","The development and application of advanced analytical methods in microplastics contamination detection: A critical review","Ye Y, Yu K, Zhao Y.","Sci Total Environ. 2022 Apr 20;818:151851. doi: 10.1016/j.scitotenv.2021.151851. Epub 2021 Nov 22.","Ye Y","Sci Total Environ","2022","2021/11/25","","","10.1016/j.scitotenv.2021.151851"
"32208267","Recent progresses in analytical GC and LC mass spectrometric based-methods for the detection of emerging chlorinated and brominated contaminants and their transformation products in aquatic environment","Badea SL, Geana EI, Niculescu VC, Ionete RE.","Sci Total Environ. 2020 Jun 20;722:137914. doi: 10.1016/j.scitotenv.2020.137914. Epub 2020 Mar 13.","Badea SL","Sci Total Environ","2020","2020/03/26","","","10.1016/j.scitotenv.2020.137914"
"26388361","Analytical methods for human biomonitoring of pesticides. A review","Yusa V, Millet M, Coscolla C, Roca M.","Anal Chim Acta. 2015 Sep 3;891:15-31. doi: 10.1016/j.aca.2015.05.032. Epub 2015 Jun 4.","Yusa V","Anal Chim Acta","2015","2015/09/22","","","10.1016/j.aca.2015.05.032"
"35584364","Current Methods and Prospects for Analysis and Characterization of Nanomaterials in the Environment","Jiang C, Liu S, Zhang T, Liu Q, Alvarez PJJ, Chen W.","Environ Sci Technol. 2022 Jun 21;56(12):7426-7447. doi: 10.1021/acs.est.1c08011. Epub 2022 May 18.","Jiang C","Environ Sci Technol","2022","2022/05/18","","","10.1021/acs.est.1c08011"
"34953884","Methods for the analysis of endocrine disrupting chemicals in selected environmental matrixes","Metcalfe CD, Bayen S, Desrosiers M, Muñoz G, Sauvé S, Yargeau V.","Environ Res. 2022 Apr 15;206:112616. doi: 10.1016/j.envres.2021.112616. Epub 2021 Dec 23.","Metcalfe CD","Environ Res","2022","2021/12/26","","","10.1016/j.envres.2021.112616"
"35888900","Emerging Bioanalytical Devices and Platforms for Rapid Detection of Pathogens in Environmental Samples","Ngashangva L, Hemdan BA, El-Liethy MA, Bachu V, Minteer SD, Goswami P.","Micromachines (Basel). 2022 Jul 8;13(7):1083. doi: 10.3390/mi13071083.","Ngashangva L","Micromachines (Basel)","2022","2022/07/27","PMC9321031","","10.3390/mi13071083"
"34436873","Chemical Analysis of Microplastics and Nanoplastics: Challenges, Advanced Methods, and Perspectives","Ivleva NP.","Chem Rev. 2021 Oct 13;121(19):11886-11936. doi: 10.1021/acs.chemrev.1c00178. Epub 2021 Aug 26.","Ivleva NP","Chem Rev","2021","2021/08/26","","","10.1021/acs.chemrev.1c00178"
