PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30874557","Advancing environmental exposure assessment science to benefit society","Caplin A, Ghandehari M, Lim C, Glimcher P, Thurston G.","Nat Commun. 2019 Mar 15;10(1):1236. doi: 10.1038/s41467-019-09155-4.","Caplin A","Nat Commun","2019","2019/03/16","PMC6420629","","10.1038/s41467-019-09155-4"
"37002432","Environmental Exposure Disparities and Neurodevelopmental Risk: a Review","Dickerson AS, Frndak S, DeSantiago M, Mohan A, Smith GS.","Curr Environ Health Rep. 2023 Jun;10(2):73-83. doi: 10.1007/s40572-023-00396-6. Epub 2023 Apr 1.","Dickerson AS","Curr Environ Health Rep","2023","2023/03/31","","","10.1007/s40572-023-00396-6"
"30844763","Exposure to environmental toxicants and young children's cognitive and social development","Davis AN, Carlo G, Gulseven Z, Palermo F, Lin CH, Nagel SC, Vu DC, Vo PH, Ho TL, McElroy JA.","Rev Environ Health. 2019 Mar 26;34(1):35-56. doi: 10.1515/reveh-2018-0045.","Davis AN","Rev Environ Health","2019","2019/03/08","","","10.1515/reveh-2018-0045"
"32807878","Key principles and operational practices for improved nanotechnology environmental exposure assessment","Svendsen C, Walker LA, Matzke M, Lahive E, Harrison S, Crossley A, Park B, Lofts S, Lynch I, Vázquez-Campos S, Kaegi R, Gogos A, Asbach C, Cornelis G, von der Kammer F, van den Brink NW, Mays C, Spurgeon DJ.","Nat Nanotechnol. 2020 Sep;15(9):731-742. doi: 10.1038/s41565-020-0742-1. Epub 2020 Aug 17.","Svendsen C","Nat Nanotechnol","2020","2020/08/19","","","10.1038/s41565-020-0742-1"
"31683121","Circular RNAs as biomarkers and therapeutic targets in environmental chemical exposure-related diseases","Li D, Li Z, Yang Y, Zeng X, Li Y, Du X, Zhu X.","Environ Res. 2020 Jan;180:108825. doi: 10.1016/j.envres.2019.108825. Epub 2019 Oct 16.","Li D","Environ Res","2020","2019/11/05","","","10.1016/j.envres.2019.108825"
"27722929","Pesticides: an update of human exposure and toxicity","Mostafalou S, Abdollahi M.","Arch Toxicol. 2017 Feb;91(2):549-599. doi: 10.1007/s00204-016-1849-x. Epub 2016 Oct 8.","Mostafalou S","Arch Toxicol","2017","2016/10/11","","","10.1007/s00204-016-1849-x"
"24013021","A review of airborne polycyclic aromatic hydrocarbons (PAHs) and their human health effects","Kim KH, Jahan SA, Kabir E, Brown RJ.","Environ Int. 2013 Oct;60:71-80. doi: 10.1016/j.envint.2013.07.019. Epub 2013 Sep 6.","Kim KH","Environ Int","2013","2013/09/10","","","10.1016/j.envint.2013.07.019"
"30248862","An overview of phthalate acid ester pollution in China over the last decade: Environmental occurrence and human exposure","Gao D, Li Z, Wang H, Liang H.","Sci Total Environ. 2018 Dec 15;645:1400-1409. doi: 10.1016/j.scitotenv.2018.07.093. Epub 2018 Jul 23.","Gao D","Sci Total Environ","2018","2018/09/26","","","10.1016/j.scitotenv.2018.07.093"
"31344544","A review of sources, environmental occurrences and human exposure risks of hexachlorobutadiene and its association with some other chlorinated organics","Zhang H, Shen Y, Liu W, He Z, Fu J, Cai Z, Jiang G.","Environ Pollut. 2019 Oct;253:831-840. doi: 10.1016/j.envpol.2019.07.090. Epub 2019 Jul 18.","Zhang H","Environ Pollut","2019","2019/07/26","","","10.1016/j.envpol.2019.07.090"
"22079616","Hair analysis for biomonitoring of environmental and occupational exposure to organic pollutants: state of the art, critical review and future needs","Appenzeller BM, Tsatsakis AM.","Toxicol Lett. 2012 Apr 25;210(2):119-40. doi: 10.1016/j.toxlet.2011.10.021. Epub 2011 Oct 31.","Appenzeller BM","Toxicol Lett","2012","2011/11/15","","","10.1016/j.toxlet.2011.10.021"
