PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35341870","Persistent organic pollutants in water resources: Fate, occurrence, characterization and risk analysis","Aravind Kumar J, Krithiga T, Sathish S, Renita AA, Prabu D, Lokesh S, Geetha R, Namasivayam SKR, Sillanpaa M.","Sci Total Environ. 2022 Jul 20;831:154808. doi: 10.1016/j.scitotenv.2022.154808. Epub 2022 Mar 24.","Aravind Kumar J","Sci Total Environ","2022","2022/03/28","","","10.1016/j.scitotenv.2022.154808"
"31146153","Persistent organic pollutants in typical lake ecosystems","Li C, Yang L, Shi M, Liu G.","Ecotoxicol Environ Saf. 2019 Sep 30;180:668-678. doi: 10.1016/j.ecoenv.2019.05.060. Epub 2019 May 27.","Li C","Ecotoxicol Environ Saf","2019","2019/05/31","","","10.1016/j.ecoenv.2019.05.060"
"34482253","Persistent organic pollutants (POPs) in coastal wetlands: A review of their occurrences, toxic effects, and biogeochemical cycling","Girones L, Oliva AL, Negrin VL, Marcovecchio JE, Arias AH.","Mar Pollut Bull. 2021 Nov;172:112864. doi: 10.1016/j.marpolbul.2021.112864. Epub 2021 Sep 2.","Girones L","Mar Pollut Bull","2021","2021/09/05","","","10.1016/j.marpolbul.2021.112864"
"29145101","The distribution and trends of persistent organic pollutants and mercury in marine mammals from Canada's Eastern Arctic","Brown TM, Macdonald RW, Muir DCG, Letcher RJ.","Sci Total Environ. 2018 Mar 15;618:500-517. doi: 10.1016/j.scitotenv.2017.11.052. Epub 2017 Nov 13.","Brown TM","Sci Total Environ","2018","2017/11/18","","","10.1016/j.scitotenv.2017.11.052"
"29477865","Bioaccumulation of organic pollutants in Indo-Pacific humpback dolphin: A review on current knowledge and future prospects","Sanganyado E, Rajput IR, Liu W.","Environ Pollut. 2018 Jun;237:111-125. doi: 10.1016/j.envpol.2018.01.055. Epub 2018 Feb 23.","Sanganyado E","Environ Pollut","2018","2018/02/26","","","10.1016/j.envpol.2018.01.055"
"24582601","Accumulation of persistent organic pollutants in parasites","Yen Le TT, Rijsdijk L, Sures B, Hendriks AJ.","Chemosphere. 2014 Aug;108:145-51. doi: 10.1016/j.chemosphere.2014.01.036. Epub 2014 Feb 28.","Yen Le TT","Chemosphere","2014","2014/03/04","","","10.1016/j.chemosphere.2014.01.036"
"24158581","Bioamplification as a bioaccumulation mechanism for persistent organic pollutants (POPs) in wildlife","Daley JM, Paterson G, Drouillard KG.","Rev Environ Contam Toxicol. 2014;227:107-55. doi: 10.1007/978-3-319-01327-5_4.","Daley JM","Rev Environ Contam Toxicol","2014","2013/10/26","","","10.1007/978-3-319-01327-5_4"
"36566717","Combined toxicity of micro/nanoplastics loaded with environmental pollutants to organisms and cells: Role, effects, and mechanism","Sun N, Shi H, Li X, Gao C, Liu R.","Environ Int. 2023 Jan;171:107711. doi: 10.1016/j.envint.2022.107711. Epub 2022 Dec 21.","Sun N","Environ Int","2023","2022/12/25","","","10.1016/j.envint.2022.107711"
"27565527","A review of current knowledge and future prospects regarding persistent organic pollutants over the Tibetan Plateau","Wang X, Gong P, Wang C, Ren J, Yao T.","Sci Total Environ. 2016 Dec 15;573:139-154. doi: 10.1016/j.scitotenv.2016.08.107. Epub 2016 Aug 23.","Wang X","Sci Total Environ","2016","2016/08/28","","","10.1016/j.scitotenv.2016.08.107"
"30802746","Environmentally persistent free radicals: Occurrence, formation mechanisms and implications","Pan B, Li H, Lang D, Xing B.","Environ Pollut. 2019 May;248:320-331. doi: 10.1016/j.envpol.2019.02.032. Epub 2019 Feb 11.","Pan B","Environ Pollut","2019","2019/02/26","","","10.1016/j.envpol.2019.02.032"
