,Authors,Publication Year,DOI,Title,Abstract,is_download
SL01-1-J,"Diamanti-Kandarakis E, Bourguignon JP, Giudice LC, Hauser R, Prins GS, Soto AM, Zoeller RT, Gore AC.",2009,10.1210/er.2009-0002,Endocrine-disrupting chemicals: an Endocrine Society scientific statement,,1
SL01-2-J,"Annamalai J, Namasivayam V.",2015,10.1016/j.envint.2014.12.006,Endocrine disrupting chemicals in the atmosphere: Their effects on humans and wildlife,,1
SL01-3-J,"Xu S, Ma J, Ji R, Pan K, Miao AJ.",2020,10.1016/j.scitotenv.2019.134699,"Microplastics in aquatic environments: Occurrence, accumulation, and biological effects",,1
SL01-4-J,"Marlatt VL, Bayen S, Castaneda-Cortès D, Delbès G, Grigorova P, Langlois VS, Martyniuk CJ, Metcalfe CD, Parent L, Rwigemera A, Thomson P, Van Der Kraak G.",2022,10.1016/j.envres.2021.112584,Impacts of endocrine disrupting chemicals on reproduction in wildlife and humans,,0
SL01-5-J,"Ahn C, Jeung EB.",2023,10.3390/ijms24065342,Endocrine-Disrupting Chemicals and Disease Endpoints,,1
SL01-6-J,Matsushima A.,2018,10.3390/ijms19051377,A Novel Action of Endocrine-Disrupting Chemicals on Wildlife; DDT and Its Derivatives Have Remained in the Environment,,1
SL01-7-J,"Kabir ER, Rahman MS, Rahman I.",2015,10.1016/j.etap.2015.06.009,A review on endocrine disruptors and their possible impacts on human health,,1
SL01-8-J,"Colborn T, vom Saal FS, Soto AM.",1993,10.1289/ehp.93101378,Developmental effects of endocrine-disrupting chemicals in wildlife and humans,,1
SL01-9-J,"Delbes G, Blázquez M, Fernandino JI, Grigorova P, Hales BF, Metcalfe C, Navarro-Martín L, Parent L, Robaire B, Rwigemera A, Van Der Kraak G, Wade M, Marlatt V.",2022,10.1016/j.envres.2021.112040,Effects of endocrine disrupting chemicals on gonad development: Mechanistic insights from fish and mammals,,1
SL01-10-J,"Chen Q, Zhao H, Liu Y, Jin L, Peng R.",2023,10.3390/toxics11060490,Factors Affecting the Adsorption of Heavy Metals by Microplastics and Their Toxic Effects on Fish,,1
