PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"19502515","Endocrine-disrupting chemicals: an Endocrine Society scientific statement","Diamanti-Kandarakis E, Bourguignon JP, Giudice LC, Hauser R, Prins GS, Soto AM, Zoeller RT, Gore AC.","Endocr Rev. 2009 Jun;30(4):293-342. doi: 10.1210/er.2009-0002.","Diamanti-Kandarakis E","Endocr Rev","2009","2009/06/09","PMC2726844","","10.1210/er.2009-0002"
"25569353","Endocrine disrupting chemicals in the atmosphere: Their effects on humans and wildlife","Annamalai J, Namasivayam V.","Environ Int. 2015 Mar;76:78-97. doi: 10.1016/j.envint.2014.12.006. Epub 2015 Jan 5.","Annamalai J","Environ Int","2015","2015/01/09","","","10.1016/j.envint.2014.12.006"
"31726297","Microplastics in aquatic environments: Occurrence, accumulation, and biological effects","Xu S, Ma J, Ji R, Pan K, Miao AJ.","Sci Total Environ. 2020 Feb 10;703:134699. doi: 10.1016/j.scitotenv.2019.134699. Epub 2019 Nov 5.","Xu S","Sci Total Environ","2020","2019/11/15","","","10.1016/j.scitotenv.2019.134699"
"34951986","Impacts of endocrine disrupting chemicals on reproduction in wildlife and humans","Marlatt VL, Bayen S, Castaneda-Cortès D, Delbès G, Grigorova P, Langlois VS, Martyniuk CJ, Metcalfe CD, Parent L, Rwigemera A, Thomson P, Van Der Kraak G.","Environ Res. 2022 May 15;208:112584. doi: 10.1016/j.envres.2021.112584. Epub 2021 Dec 21.","Marlatt VL","Environ Res","2022","2021/12/24","","","10.1016/j.envres.2021.112584"
"36982431","Endocrine-Disrupting Chemicals and Disease Endpoints","Ahn C, Jeung EB.","Int J Mol Sci. 2023 Mar 10;24(6):5342. doi: 10.3390/ijms24065342.","Ahn C","Int J Mol Sci","2023","2023/03/29","PMC10049097","","10.3390/ijms24065342"
"29734751","A Novel Action of Endocrine-Disrupting Chemicals on Wildlife; DDT and Its Derivatives Have Remained in the Environment","Matsushima A.","Int J Mol Sci. 2018 May 5;19(5):1377. doi: 10.3390/ijms19051377.","Matsushima A","Int J Mol Sci","2018","2018/05/09","PMC5983739","","10.3390/ijms19051377"
"26164742","A review on endocrine disruptors and their possible impacts on human health","Kabir ER, Rahman MS, Rahman I.","Environ Toxicol Pharmacol. 2015 Jul;40(1):241-58. doi: 10.1016/j.etap.2015.06.009. Epub 2015 Jun 9.","Kabir ER","Environ Toxicol Pharmacol","2015","2015/07/13","","","10.1016/j.etap.2015.06.009"
"8080506","Developmental effects of endocrine-disrupting chemicals in wildlife and humans","Colborn T, vom Saal FS, Soto AM.","Environ Health Perspect. 1993 Oct;101(5):378-84. doi: 10.1289/ehp.93101378.","Colborn T","Environ Health Perspect","1993","1993/10/01","PMC1519860","","10.1289/ehp.93101378"
"34509487","Effects of endocrine disrupting chemicals on gonad development: Mechanistic insights from fish and mammals","Delbes G, Blázquez M, Fernandino JI, Grigorova P, Hales BF, Metcalfe C, Navarro-Martín L, Parent L, Robaire B, Rwigemera A, Van Der Kraak G, Wade M, Marlatt V.","Environ Res. 2022 Mar;204(Pt B):112040. doi: 10.1016/j.envres.2021.112040. Epub 2021 Sep 9.","Delbes G","Environ Res","2022","2021/09/12","","","10.1016/j.envres.2021.112040"
"37368590","Factors Affecting the Adsorption of Heavy Metals by Microplastics and Their Toxic Effects on Fish","Chen Q, Zhao H, Liu Y, Jin L, Peng R.","Toxics. 2023 May 28;11(6):490. doi: 10.3390/toxics11060490.","Chen Q","Toxics","2023","2023/06/27","PMC10305669","","10.3390/toxics11060490"
