,Authors,Publication Year,DOI,Title,Abstract,is_download
SL01-1-J,"De Angelis M, Schramm KW.",2022,10.1016/j.mam.2021.100988,Perinatal effects of persistent organic pollutants on thyroid hormone concentration in placenta and breastmilk,,1
SL01-2-J,"Popli S, Badgujar PC, Agarwal T, Bhushan B, Mishra V.",2022,10.1016/j.scitotenv.2022.155084,"Persistent organic pollutants in foods, their interplay with gut microbiota and resultant toxicity",,0
SL01-3-J,"Chen H, Wang C, Li H, Ma R, Yu Z, Li L, Xiang M, Chen X, Hua X, Yu Y.",2019,10.1016/j.jenvman.2019.02.102,A review of toxicity induced by persistent organic pollutants (POPs) and endocrine-disrupting chemicals (EDCs) in the nematode Caenorhabditis elegans,,1
SL01-4-J,"Hoyeck MP, Matteo G, MacFarlane EM, Perera I, Bruin JE.",2022,10.1152/ajpendo.00358.2021,Persistent organic pollutants and β-cell toxicity: a comprehensive review,,0
SL01-5-J,"Dev P, Chakravarty K, Pandey M, Ranjan R, Cyriac M, Mishra VN, Pathak A.",2023,10.1016/j.tox.2023.153567,Effect of persistent organic pollutants in patients with ischemic stroke and all stroke: A systematic review and meta-analysis,,0
SL01-6-J,"Muir T, Michalek JE, Palmer RF.",2022,10.1515/reveh-2021-0105,Determination of safe levels of persistent organic pollutants in toxicology and epidemiology,,1
SL01-7-J,González MC.,2021,10.1515/reveh-2020-0113,Prenatal exposure to persistent organic pollutants as a risk factor of offspring metabolic syndrome development during childhood,,1
SL01-8-J,"Hu L, Luo D, Wang L, Yu M, Zhao S, Wang Y, Mei S, Zhang G.",2021,10.1016/j.scitotenv.2020.142028,Levels and profiles of persistent organic pollutants in breast milk in China and their potential health risks to breastfed infants: A review,,1
SL01-9-J,"Zhang X, Cheng X, Lei B, Zhang G, Bi Y, Yu Y.",2021,10.1016/j.envint.2020.106224,"A review of the transplacental transfer of persistent halogenated organic pollutants: Transfer characteristics, influential factors, and mechanisms",,1
SL01-10-J,"Kim S, Thapar I, Brooks BW.",2021,10.1016/j.envpol.2021.116929,Epigenetic changes by per- and polyfluoroalkyl substances (PFAS),,1
