PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34238594","Perinatal effects of persistent organic pollutants on thyroid hormone concentration in placenta and breastmilk","De Angelis M, Schramm KW.","Mol Aspects Med. 2022 Oct;87:100988. doi: 10.1016/j.mam.2021.100988. Epub 2021 Jul 6.","De Angelis M","Mol Aspects Med","2022","2021/07/09","","","10.1016/j.mam.2021.100988"
"35395291","Persistent organic pollutants in foods, their interplay with gut microbiota and resultant toxicity","Popli S, Badgujar PC, Agarwal T, Bhushan B, Mishra V.","Sci Total Environ. 2022 Aug 1;832:155084. doi: 10.1016/j.scitotenv.2022.155084. Epub 2022 Apr 6.","Popli S","Sci Total Environ","2022","2022/04/08","","","10.1016/j.scitotenv.2022.155084"
"30825784","A review of toxicity induced by persistent organic pollutants (POPs) and endocrine-disrupting chemicals (EDCs) in the nematode Caenorhabditis elegans","Chen H, Wang C, Li H, Ma R, Yu Z, Li L, Xiang M, Chen X, Hua X, Yu Y.","J Environ Manage. 2019 May 1;237:519-525. doi: 10.1016/j.jenvman.2019.02.102. Epub 2019 Feb 28.","Chen H","J Environ Manage","2019","2019/03/03","","","10.1016/j.jenvman.2019.02.102"
"35156417","Persistent organic pollutants and β-cell toxicity: a comprehensive review","Hoyeck MP, Matteo G, MacFarlane EM, Perera I, Bruin JE.","Am J Physiol Endocrinol Metab. 2022 May 1;322(5):E383-E413. doi: 10.1152/ajpendo.00358.2021. Epub 2022 Feb 14.","Hoyeck MP","Am J Physiol Endocrinol Metab","2022","2022/02/14","PMC9394781","","10.1152/ajpendo.00358.2021"
"37268249","Effect of persistent organic pollutants in patients with ischemic stroke and all stroke: A systematic review and meta-analysis","Dev P, Chakravarty K, Pandey M, Ranjan R, Cyriac M, Mishra VN, Pathak A.","Toxicology. 2023 Aug 1;494:153567. doi: 10.1016/j.tox.2023.153567. Epub 2023 Jun 1.","Dev P","Toxicology","2023","2023/06/02","","","10.1016/j.tox.2023.153567"
"35506713","Determination of safe levels of persistent organic pollutants in toxicology and epidemiology","Muir T, Michalek JE, Palmer RF.","Rev Environ Health. 2022 May 5;38(3):401-408. doi: 10.1515/reveh-2021-0105. Print 2023 Sep 26.","Muir T","Rev Environ Health","2022","2022/05/04","","","10.1515/reveh-2021-0105"
"33866704","Prenatal exposure to persistent organic pollutants as a risk factor of offspring metabolic syndrome development during childhood","González MC.","Rev Environ Health. 2021 Apr 15;37(1):61-70. doi: 10.1515/reveh-2020-0113. Print 2022 Mar 28.","González MC","Rev Environ Health","2021","2021/04/18","","","10.1515/reveh-2020-0113"
"32906049","Levels and profiles of persistent organic pollutants in breast milk in China and their potential health risks to breastfed infants: A review","Hu L, Luo D, Wang L, Yu M, Zhao S, Wang Y, Mei S, Zhang G.","Sci Total Environ. 2021 Jan 20;753:142028. doi: 10.1016/j.scitotenv.2020.142028. Epub 2020 Aug 29.","Hu L","Sci Total Environ","2021","2020/09/09","","","10.1016/j.scitotenv.2020.142028"
"33137703","A review of the transplacental transfer of persistent halogenated organic pollutants: Transfer characteristics, influential factors, and mechanisms","Zhang X, Cheng X, Lei B, Zhang G, Bi Y, Yu Y.","Environ Int. 2021 Jan;146:106224. doi: 10.1016/j.envint.2020.106224. Epub 2020 Nov 1.","Zhang X","Environ Int","2021","2020/11/02","","","10.1016/j.envint.2020.106224"
"33751946","Epigenetic changes by per- and polyfluoroalkyl substances (PFAS)","Kim S, Thapar I, Brooks BW.","Environ Pollut. 2021 Jun 15;279:116929. doi: 10.1016/j.envpol.2021.116929. Epub 2021 Mar 15.","Kim S","Environ Pollut","2021","2021/03/22","","","10.1016/j.envpol.2021.116929"
