,Authors,Publication Year,DOI,Title,Abstract,is_download
SL01-1-J,"Porta M, Gasull M, Pumarega J, Kiviranta H, Rantakokko P, Raaschou-Nielsen O, Bergdahl IA, Sandanger TM, Agudo A, Rylander C, Nøst TH, Donat-Vargas C, Aune D, Heath AK, Cirera L, Goñi-Irigoyen F, Alguacil J, Giménez-Robert À, Tjønneland A, Sund M, Overvad K, Mancini FR, Rebours V, Boutron-Ruault MC, Kaaks R, Schulze MB, Trichopoulou A, Palli D, Grioni S, Tumino R, Naccarati A, Panico S, Vermeulen R, Quirós JR, Rodríguez-Barranco M, Colorado-Yohar SM, Chirlaque MD, Ardanaz E, Wareham N, Key T, Johansson M, Murphy N, Ferrari P, Huybrechts I, Chajes V, Gonzalez CA, Bueno-de-Mesquita B, Gunter M, Weiderpass E, Riboli E, Duell EJ, Katzke V, Vineis P.",2022,10.1093/ije/dyab115,Plasma concentrations of persistent organic pollutants and pancreatic cancer risk,,1
SL01-2-J,Darbre PD.,2017,10.1007/s13679-017-0240-4,Endocrine Disruptors and Obesity,,1
SL01-3-J,"Yu Y, Quan X, Wang H, Zhang B, Hou Y, Su C.",2023,10.1016/j.ecoenv.2023.114525,Assessing the health risk of hyperuricemia in participants with persistent organic pollutants exposure - a systematic review and meta-analysis,,0
SL01-4-J,"Aravind Kumar J, Krithiga T, Sathish S, Renita AA, Prabu D, Lokesh S, Geetha R, Namasivayam SKR, Sillanpaa M.",2022,10.1016/j.scitotenv.2022.154808,"Persistent organic pollutants in water resources: Fate, occurrence, characterization and risk analysis",,0
SL01-5-J,"Bolan S, Padhye LP, Mulligan CN, Alonso ER, Saint-Fort R, Jasemizad T, Wang C, Zhang T, Rinklebe J, Wang H, Siddique KHM, Kirkham MB, Bolan N.",2023,10.1016/j.jhazmat.2022.130189,Surfactant-enhanced mobilization of persistent organic pollutants: Potential for soil and sediment remediation and unintended consequences,,0
SL01-6-J,"Muir T, Michalek JE, Palmer RF.",2022,10.1515/reveh-2021-0105,Determination of safe levels of persistent organic pollutants in toxicology and epidemiology,,1
SL01-7-J,"Gwinn MR, Axelrad DA, Bahadori T, Bussard D, Cascio WE, Deener K, Dix D, Thomas RS, Kavlock RJ, Burke TA.",2017,10.2105/AJPH.2017.303771,Chemical Risk Assessment: Traditional vs Public Health Perspectives,,1
SL01-8-J,"Dong Z, Liu Y, Duan L, Bekele D, Naidu R.",2015,10.1016/j.envint.2015.09.008,Uncertainties in human health risk assessment of environmental contaminants: A review and perspective,,1
SL01-9-J,"Lan H, Hu Z, Gan H, Wu L, Xie S, Jiang Y, Ye D, Ye X.",2023,10.1016/j.ecoenv.2023.115540,Association between exposure to persistent organic pollutants and pubertal timing in boys and girls: A systematic review and meta-analysis,,0
SL01-10-J,"Najjar A, Punt A, Wambaugh J, Paini A, Ellison C, Fragki S, Bianchi E, Zhang F, Westerhout J, Mueller D, Li H, Shi Q, Gant TW, Botham P, Bars R, Piersma A, van Ravenzwaay B, Kramer NI.",2022,10.1007/s00204-022-03356-5,Towards best use and regulatory acceptance of generic physiologically based kinetic (PBK) models for in vitro-to-in vivo extrapolation (IVIVE) in chemical risk assessment,,1
