PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34259837","Plasma concentrations of persistent organic pollutants and pancreatic cancer risk","Porta M, Gasull M, Pumarega J, Kiviranta H, Rantakokko P, Raaschou-Nielsen O, Bergdahl IA, Sandanger TM, Agudo A, Rylander C, Nøst TH, Donat-Vargas C, Aune D, Heath AK, Cirera L, Goñi-Irigoyen F, Alguacil J, Giménez-Robert À, Tjønneland A, Sund M, Overvad K, Mancini FR, Rebours V, Boutron-Ruault MC, Kaaks R, Schulze MB, Trichopoulou A, Palli D, Grioni S, Tumino R, Naccarati A, Panico S, Vermeulen R, Quirós JR, Rodríguez-Barranco M, Colorado-Yohar SM, Chirlaque MD, Ardanaz E, Wareham N, Key T, Johansson M, Murphy N, Ferrari P, Huybrechts I, Chajes V, Gonzalez CA, Bueno-de-Mesquita B, Gunter M, Weiderpass E, Riboli E, Duell EJ, Katzke V, Vineis P.","Int J Epidemiol. 2022 May 9;51(2):479-490. doi: 10.1093/ije/dyab115.","Porta M","Int J Epidemiol","2022","2021/07/14","PMC9082788","","10.1093/ije/dyab115"
"28205155","Endocrine Disruptors and Obesity","Darbre PD.","Curr Obes Rep. 2017 Mar;6(1):18-27. doi: 10.1007/s13679-017-0240-4.","Darbre PD","Curr Obes Rep","2017","2017/02/17","PMC5359373","","10.1007/s13679-017-0240-4"
"36640578","Assessing the health risk of hyperuricemia in participants with persistent organic pollutants exposure - a systematic review and meta-analysis","Yu Y, Quan X, Wang H, Zhang B, Hou Y, Su C.","Ecotoxicol Environ Saf. 2023 Feb;251:114525. doi: 10.1016/j.ecoenv.2023.114525. Epub 2023 Jan 12.","Yu Y","Ecotoxicol Environ Saf","2023","2023/01/14","","","10.1016/j.ecoenv.2023.114525"
"35341870","Persistent organic pollutants in water resources: Fate, occurrence, characterization and risk analysis","Aravind Kumar J, Krithiga T, Sathish S, Renita AA, Prabu D, Lokesh S, Geetha R, Namasivayam SKR, Sillanpaa M.","Sci Total Environ. 2022 Jul 20;831:154808. doi: 10.1016/j.scitotenv.2022.154808. Epub 2022 Mar 24.","Aravind Kumar J","Sci Total Environ","2022","2022/03/28","","","10.1016/j.scitotenv.2022.154808"
"36265382","Surfactant-enhanced mobilization of persistent organic pollutants: Potential for soil and sediment remediation and unintended consequences","Bolan S, Padhye LP, Mulligan CN, Alonso ER, Saint-Fort R, Jasemizad T, Wang C, Zhang T, Rinklebe J, Wang H, Siddique KHM, Kirkham MB, Bolan N.","J Hazard Mater. 2023 Feb 5;443(Pt A):130189. doi: 10.1016/j.jhazmat.2022.130189. Epub 2022 Oct 13.","Bolan S","J Hazard Mater","2023","2022/10/20","","","10.1016/j.jhazmat.2022.130189"
"35506713","Determination of safe levels of persistent organic pollutants in toxicology and epidemiology","Muir T, Michalek JE, Palmer RF.","Rev Environ Health. 2022 May 5;38(3):401-408. doi: 10.1515/reveh-2021-0105. Print 2023 Sep 26.","Muir T","Rev Environ Health","2022","2022/05/04","","","10.1515/reveh-2021-0105"
"28520487","Chemical Risk Assessment: Traditional vs Public Health Perspectives","Gwinn MR, Axelrad DA, Bahadori T, Bussard D, Cascio WE, Deener K, Dix D, Thomas RS, Kavlock RJ, Burke TA.","Am J Public Health. 2017 Jul;107(7):1032-1039. doi: 10.2105/AJPH.2017.303771. Epub 2017 May 18.","Gwinn MR","Am J Public Health","2017","2017/05/19","PMC5463214","","10.2105/AJPH.2017.303771"
"26386465","Uncertainties in human health risk assessment of environmental contaminants: A review and perspective","Dong Z, Liu Y, Duan L, Bekele D, Naidu R.","Environ Int. 2015 Dec;85:120-32. doi: 10.1016/j.envint.2015.09.008. Epub 2015 Sep 17.","Dong Z","Environ Int","2015","2015/09/20","","","10.1016/j.envint.2015.09.008"
"37801753","Association between exposure to persistent organic pollutants and pubertal timing in boys and girls: A systematic review and meta-analysis","Lan H, Hu Z, Gan H, Wu L, Xie S, Jiang Y, Ye D, Ye X.","Ecotoxicol Environ Saf. 2023 Oct 15;265:115540. doi: 10.1016/j.ecoenv.2023.115540. Epub 2023 Oct 5.","Lan H","Ecotoxicol Environ Saf","2023","2023/10/06","","","10.1016/j.ecoenv.2023.115540"
"36063173","Towards best use and regulatory acceptance of generic physiologically based kinetic (PBK) models for in vitro-to-in vivo extrapolation (IVIVE) in chemical risk assessment","Najjar A, Punt A, Wambaugh J, Paini A, Ellison C, Fragki S, Bianchi E, Zhang F, Westerhout J, Mueller D, Li H, Shi Q, Gant TW, Botham P, Bars R, Piersma A, van Ravenzwaay B, Kramer NI.","Arch Toxicol. 2022 Dec;96(12):3407-3419. doi: 10.1007/s00204-022-03356-5. Epub 2022 Sep 5.","Najjar A","Arch Toxicol","2022","2022/09/05","PMC9584981","","10.1007/s00204-022-03356-5"
